MAC003787,0.126,Affluent,Std
MAC003787,0.086,Affluent,Std
MAC003787,0.063,Affluent,Std
MAC003787,0.153,Affluent,Std
MAC000005,0.136,Affluent,ToU
MAC003755,0.343,Affluent,Std
MAC004455,0.815,Affluent,Std
MAC000005,0.038,Affluent,ToU
MAC003260,0.274,Affluent,Std
MAC004673,0.044,Affluent,Std
MAC004447,0.461,Affluent,Std
MAC003235,0.678,Affluent,Std
MAC004108,0.086,Affluent,Std
MAC000005,0.033,Affluent,ToU
MAC000005,0.038,Affluent,ToU
MAC003260,0.089,Affluent,Std
MAC004367,0.072,Affluent,Std
MAC004367,0.13,Affluent,Std
MAC003755,0.241,Affluent,Std
MAC002797,0.239,Affluent,ToU
MAC003299,0.305,Affluent,Std
MAC003912,0.151,Affluent,Std
MAC003061,0.393,Affluent,ToU
MAC003907,0.222,Affluent,Std
MAC003755,0.175,Affluent,Std
MAC005028,0.034,Affluent,Std
MAC003061,0.213,Affluent,ToU
MAC003755,0.258,Affluent,Std
MAC004504,0.605,Affluent,Std
MAC000017,0.049,Affluent,ToU
MAC004504,0.446,Affluent,Std
MAC003639,0.115,Affluent,Std
MAC004369,0.052,Affluent,Std
MAC003584,0.183,Affluent,Std
MAC004585,0.561,Affluent,Std
MAC000017,0.245,Affluent,ToU
MAC004369,0.882,Affluent,Std
MAC004249,0.394,Affluent,Std
MAC000017,0.05,Affluent,ToU
MAC003278,0.497,Affluent,Std
MAC005509,0.139,Affluent,Std
MAC003748,0.223,Affluent,Std
MAC005509,1.1339999,Affluent,Std
MAC003283,1.0039999,Affluent,Std
MAC004415,0.079,Affluent,Std
MAC000598,0.087,Affluent,ToU
MAC003748,0.15,Affluent,Std
MAC000598,0.097,Affluent,ToU
MAC003283,0.222,Affluent,Std
MAC004415,0.092,Affluent,Std
MAC004750,0.103,Affluent,Std
MAC004750,0.091,Affluent,Std
MAC004712,0.024,Affluent,Std
MAC003061,1.641,Affluent,ToU
MAC003787,0.093,Affluent,Std
MAC003299,0.415,Affluent,Std
MAC004336,0.067,Affluent,Std
MAC003776,0.331,Affluent,Std
MAC004712,0.122,Affluent,Std
MAC003787,0.138,Affluent,Std
MAC003776,0.333,Affluent,Std
MAC003313,0.184,Affluent,Std
MAC004447,0.104,Affluent,Std
MAC004336,0.197,Affluent,Std
MAC003275,0.14,Affluent,Std
MAC004367,0.188,Affluent,Std
MAC004108,0.033,Affluent,Std
MAC004925,0.037,Affluent,Std
MAC004367,0.077,Affluent,Std
MAC003584,0.095,Affluent,Std
MAC000598,0.215,Affluent,ToU
MAC004040,0.039,Affluent,Std
MAC003275,0.124,Affluent,Std
MAC000598,0.126,Affluent,ToU
MAC003584,0.088,Affluent,Std
MAC004504,0.51,Affluent,Std
MAC004040,0.042,Affluent,Std
MAC004925,0.097,Affluent,Std
MAC005509,0.068,Affluent,Std
MAC005506,0.261,Affluent,Std
MAC004504,0.65,Affluent,Std
MAC000598,0.081,Affluent,ToU
MAC004504,0.479,Affluent,Std
MAC004406,0.191,Affluent,Std
MAC000017,0.068,Affluent,ToU
MAC003639,0.09,Affluent,Std
MAC000017,0.04,Affluent,ToU
MAC003642,0.085,Affluent,Std
MAC000017,0.03,Affluent,ToU
MAC003313,0.499,Affluent,Std
MAC003787,0.124,Affluent,Std
MAC003313,0.158,Affluent,Std
MAC003231,0.372,Affluent,Std
MAC003313,0.368,Affluent,Std
MAC004455,0.09,Affluent,Std
MAC003231,0.453,Affluent,Std
MAC004455,0.228,Affluent,Std
MAC003313,0.083,Affluent,Std
MAC004455,0.125,Affluent,Std
MAC003787,0.243,Affluent,Std
MAC004455,0.122,Affluent,Std
MAC003287,0.074,Affluent,Std
MAC004925,0.096,Affluent,Std
MAC003235,0.28,Affluent,Std
MAC003235,0.607,Affluent,Std
MAC004455,0.108,Affluent,Std
MAC003907,0.179,Affluent,Std
MAC004455,0.157,Affluent,Std
MAC004336,0.059,Affluent,Std
MAC003287,0.044,Affluent,Std
MAC003235,1.148,Affluent,Std
MAC004925,0.307,Affluent,Std
MAC003907,1.816,Affluent,Std
MAC004336,0.094,Affluent,Std
MAC004455,0.364,Affluent,Std
MAC004750,0.102,Affluent,Std
MAC003283,0.799,Affluent,Std
MAC004750,0.187,Affluent,Std
MAC004040,0.063,Affluent,Std
MAC004415,0.144,Affluent,Std
MAC003283,0.195,Affluent,Std
MAC004750,0.089,Affluent,Std
MAC000598,0.129,Affluent,ToU
MAC003299,0.303,Affluent,Std
MAC003313,0.938,Affluent,Std
MAC004750,0.161,Affluent,Std
MAC003061,0.42,Affluent,ToU
MAC003061,0.426,Affluent,ToU
MAC004447,0.071,Affluent,Std
MAC004504,0.737,Affluent,Std
MAC003907,0.135,Affluent,Std
MAC003299,0.207,Affluent,Std
MAC004504,0.49,Affluent,Std
MAC003299,1.436,Affluent,Std
MAC004504,0.554,Affluent,Std
MAC003283,0.234,Affluent,Std
MAC004989,0.065,Affluent,Std
MAC003278,0.435,Affluent,Std
MAC003639,0.251,Affluent,Std
MAC004369,0.068,Affluent,Std
MAC003283,0.274,Affluent,Std
MAC003061,0.14,Affluent,ToU
MAC004369,0.117,Affluent,Std
MAC004585,0.127,Affluent,Std
MAC003061,0.424,Affluent,ToU
MAC004029,0.1,Affluent,Std
MAC003278,0.338,Affluent,Std
MAC004415,0.127,Affluent,Std
MAC003748,0.15,Affluent,Std
MAC003283,1.465,Affluent,Std
MAC004750,0.082,Affluent,Std
MAC003748,0.426,Affluent,Std
MAC000598,0.221,Affluent,ToU
MAC004040,0.216,Affluent,Std
MAC004750,0.269,Affluent,Std
MAC005509,0.277,Affluent,Std
