temp_max,weather_icon,cloud_cover,wind_speed,humidity,weather_date,temp_min,weather_summary
9.14,partly-cloudy-day,0.56,4.39,0.89,12/25/2012 0:00,6.46,Partly cloudy throughout the day.
12.4,partly-cloudy-day,0.45,2.95,0.89,10/29/2012 0:00,7.66,Partly cloudy throughout the day.
15.11,fog,0.11,1.03,0.8,3/1/2012 0:00,6.49,Foggy in the morning.
4.08,fog,0.79,0.56,0.92,2/6/2012 0:00,1.39,Foggy in the morning.
9.78,partly-cloudy-day,0.23,4.31,0.77,11/2/2012 0:00,4.61,Partly cloudy until evening.
13.77,wind,0.42,4.94,0.71,4/16/2012 23:00,5.16,Partly cloudy until evening and breezy in the morning.
18.87,partly-cloudy-day,0.43,2.39,0.73,6/17/2012 23:00,11.17,Partly cloudy until evening.
14.23,partly-cloudy-day,0.58,2.66,0.82,10/8/2012 23:00,9.07,Partly cloudy throughout the day.
12.3,wind,0.61,4.28,0.91,12/24/2012 0:00,7.57,Mostly cloudy throughout the day and breezy in the afternoon.
7.97,partly-cloudy-night,0.51,4.09,0.84,12/27/2012 0:00,6.42,Partly cloudy throughout the day.
16.18,fog,0.74,3.45,0.92,10/23/2012 23:00,13.08,Foggy throughout the day.
